date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2019-04-15,sz.300769,50.1400,60.1600,50.1400,60.1600,41.7800,8100,478779.0000,0.075772,1,43.992340,26.209519,5.171187,2.440640,93.335428,0
2019-04-16,sz.300769,66.1800,66.1800,66.1800,66.1800,60.1600,3000,198540.0000,0.028064,1,10.006650,28.832214,5.688650,2.684867,102.675176,0
2019-04-17,sz.300769,72.8000,72.8000,72.8000,72.8000,66.1800,3300,240240.0000,0.030870,1,10.003030,31.716306,6.257687,2.953435,112.945797,0
2019-04-18,sz.300769,80.0800,80.0800,80.0800,80.0800,72.8000,16203,1297536.2400,0.151572,1,9.999998,34.887937,6.883455,3.248778,124.240376,0
2019-04-19,sz.300769,88.0900,88.0900,88.0900,88.0900,80.0800,40797,3593807.7300,0.381637,1,10.002490,38.377602,7.571973,3.573737,136.667517,0
2019-04-22,sz.300769,96.9000,96.9000,96.9000,96.9000,88.0900,38900,3769410.0000,0.363891,1,10.001140,42.215798,8.329256,3.931151,150.335820,0
2019-04-23,sz.300769,106.5900,106.5900,106.5900,106.5900,96.9000,77000,8207430.0000,0.720299,1,9.999994,46.437378,9.162182,4.324266,165.369402,0
2019-04-24,sz.300769,117.2500,117.2500,113.0000,117.2500,106.5900,4720788,547178853.3600,44.160786,1,10.000940,51.081551,10.078486,4.756733,181.907894,0
2019-04-25,sz.300769,116.9000,123.8000,115.2000,119.0000,117.2500,6381561,762222346.2200,59.696548,1,1.492537,47.008225,9.748618,4.922909,-558.036178,0
2019-04-26,sz.300769,111.0100,113.9000,107.1000,107.1000,119.0000,4454127,489006944.7700,41.666296,1,-10.000000,42.307402,8.773757,4.430618,-502.232560,0
2019-04-29,sz.300769,103.9800,105.5000,96.3900,96.4000,107.1000,3637072,366558856.9100,34.023124,1,-9.990660,38.080612,7.897200,3.987970,-452.056198,0
2019-04-30,sz.300769,95.5000,99.2900,94.3000,95.7400,96.4000,2279962,221308870.3300,21.327989,1,-0.684651,37.819894,7.843132,3.960666,-448.961207,0
2019-05-06,sz.300769,91.0000,94.7500,88.8700,92.1800,95.7400,2364525,216994239.4400,22.119036,1,-3.718401,36.413598,7.551493,3.813393,-432.267016,0
2019-05-07,sz.300769,92.8000,94.4400,91.2500,93.5700,92.1800,1974421,183343344.4900,18.469794,1,1.507919,36.962686,7.665363,3.870896,-438.785253,0
2019-05-08,sz.300769,90.4300,96.1000,89.8800,93.2900,93.5700,1933092,180029006.5400,18.083181,1,-0.299240,36.852078,7.642425,3.859312,-437.472227,0
2019-05-09,sz.300769,92.1300,96.5900,91.5900,91.5900,93.2900,2081349,196415214.4700,19.470056,1,-1.822280,36.180532,7.503159,3.788985,-429.500282,0
2019-05-10,sz.300769,92.9900,94.5600,89.5000,94.1000,91.5900,2271821,210648493.6200,21.251833,1,2.740476,37.172050,7.708782,3.892821,-441.270624,0
2019-05-13,sz.300769,96.0000,99.9800,96.0000,96.1000,94.1000,2499032,243756425.4100,23.377287,1,2.125399,37.962104,7.872624,3.975559,-450.649384,0
2019-05-14,sz.300769,93.6900,93.8000,91.0000,92.3200,96.1000,1907244,175986504.1100,17.841384,1,-3.933401,36.468902,7.562962,3.819184,-432.923529,0
2019-05-15,sz.300769,92.3400,97.2500,91.6000,96.3800,92.3200,2230563,210742462.6800,20.865884,1,4.397744,38.072712,7.895562,3.987142,-451.962410,0
