date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2017-02-15,sh.601212,2.1400000000,2.5600000000,2.1400000000,2.5600000000,1.7800000000,276342,703194.0000,0.039591,1,43.820220,48.567712,1.552426,0.295960,173.915533,0
2017-02-16,sh.601212,2.8200000000,2.8200000000,2.8200000000,2.8200000000,2.5600000000,98303,277214.0000,0.014084,1,10.156250,53.500370,1.710094,0.326018,191.578829,0
2017-02-17,sh.601212,3.1000000000,3.1000000000,3.1000000000,3.1000000000,2.8200000000,163148,505759.0000,0.023374,1,9.929077,58.812464,1.879890,0.358389,210.600840,0
2017-02-20,sh.601212,3.4100000000,3.4100000000,3.4100000000,3.4100000000,3.1000000000,229800,783618.0000,0.032923,1,10.000010,64.693710,2.067879,0.394228,231.660924,0
2017-02-21,sh.601212,3.7500000000,3.7500000000,3.7500000000,3.7500000000,3.4100000000,382996,1436235.0000,0.054870,1,9.970672,71.144110,2.274061,0.433535,254.759081,0
2017-02-22,sh.601212,4.1300000000,4.1300000000,4.1300000000,4.1300000000,3.7500000000,358948,1482455.0000,0.051425,1,10.133340,78.353379,2.504499,0.477466,280.574668,0
2017-02-23,sh.601212,4.5400000000,4.5400000000,4.5400000000,4.5400000000,4.1300000000,481465,2185851.0000,0.068978,1,9.927357,86.131802,2.753130,0.524866,308.428327,0
2017-02-24,sh.601212,4.9900000000,4.9900000000,4.9900000000,4.9900000000,4.5400000000,1175235,5864423.0000,0.168372,1,9.911890,94.669095,3.026017,0.576890,338.999417,0
2017-02-27,sh.601212,5.4900000000,5.4900000000,5.4900000000,5.4900000000,4.9900000000,1197893,6576433.0000,0.171618,1,10.020040,104.154976,3.329225,0.634695,372.967295,0
2017-02-28,sh.601212,6.0400000000,6.0400000000,6.0400000000,6.0400000000,5.4900000000,1522181,9193973.0000,0.218078,1,10.018220,114.589446,3.662754,0.698280,410.331960,0
2017-03-01,sh.601212,6.6400000000,6.6400000000,6.6400000000,6.6400000000,6.0400000000,1486117,9867817.0000,0.212911,1,9.933773,125.972503,4.026604,0.767646,451.093413,0
2017-03-02,sh.601212,7.3000000000,7.3000000000,7.3000000000,7.3000000000,6.6400000000,3434695,25073274.0000,0.492077,1,9.939764,138.493867,4.426839,0.843948,495.931011,0
2017-03-03,sh.601212,7.3000000000,7.3000000000,7.3000000000,7.3000000000,7.3000000000,0,0.0000,,0,0.000000,138.493867,4.426839,0.843948,495.931011,0
2017-03-06,sh.601212,7.3000000000,7.3000000000,7.3000000000,7.3000000000,7.3000000000,0,0.0000,,0,0.000000,138.493867,4.426839,0.843948,495.931011,0
2017-03-07,sh.601212,7.3000000000,7.3000000000,7.3000000000,7.3000000000,7.3000000000,0,0.0000,,0,0.000000,138.493867,4.426839,0.843948,495.931011,0
2017-03-08,sh.601212,8.0300000000,8.0300000000,8.0300000000,8.0300000000,7.3000000000,11579276,92981586.0000,1.658922,1,9.999993,152.343253,4.869523,0.928342,545.524112,0
